candidate_id,role,generated_input_n_atoms,generated_input_spacegroup_symbol,generated_input_spacegroup_number,generated_input_n_inequivalent,generated_input_site_fraction,generated_input_law7,generated_primitive_n_atoms,generated_primitive_spacegroup_symbol,generated_primitive_spacegroup_number,generated_primitive_n_inequivalent,generated_primitive_site_fraction,generated_primitive_law7,relaxed_input_n_atoms,relaxed_input_spacegroup_symbol,relaxed_input_spacegroup_number,relaxed_input_n_inequivalent,relaxed_input_site_fraction,relaxed_input_law7,relaxed_primitive_n_atoms,relaxed_primitive_spacegroup_symbol,relaxed_primitive_spacegroup_number,relaxed_primitive_n_inequivalent,relaxed_primitive_site_fraction,relaxed_primitive_law7
candidate_0000,control,12,P1,1,12,1.0,False,12,P1,1,12,1.0,False,12,Cm,8,12,1.0,False,12,Cm,8,12,1.0,False
candidate_0004,control,4,Cmmm,65,3,0.75,False,4,Cmmm,65,3,0.75,False,4,Cmmm,65,3,0.75,False,4,Cmmm,65,3,0.75,False
candidate_0006,priority,16,Cm,8,12,0.75,False,16,Cm,8,12,0.75,False,16,C2/m,12,9,0.5625,True,16,C2/m,12,9,0.5625,True
candidate_0009,screened,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False
candidate_0011,screened,14,P1,1,14,1.0,False,14,P1,1,14,1.0,False,14,P1,1,14,1.0,False,14,P1,1,14,1.0,False
candidate_0013,priority,6,Cm,8,6,1.0,False,6,Cm,8,6,1.0,False,6,Cm,8,6,1.0,False,6,Cm,8,6,1.0,False
candidate_0015,priority,9,I4/mmm,139,3,0.3333333333333333,True,9,I4/mmm,139,3,0.3333333333333333,True,9,I4/mmm,139,3,0.3333333333333333,True,9,I4/mmm,139,3,0.3333333333333333,True
candidate_0017,priority,4,P6_3/mmc,194,1,0.25,True,2,P6_3/mmc,194,1,0.5,True,4,P6_3/mmc,194,1,0.25,True,2,P6_3/mmc,194,1,0.5,True
candidate_0023,control,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False
candidate_0025,control,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False
candidate_0034,priority,8,Pmmn,59,3,0.375,True,8,Pmmn,59,3,0.375,True,8,Pmmn,59,3,0.375,True,8,Pmmn,59,3,0.375,True
candidate_0037,priority,8,Pmm2,25,8,1.0,False,8,Pmm2,25,8,1.0,False,8,Pmm2,25,8,1.0,False,8,Pmm2,25,8,1.0,False
candidate_0051,priority,6,Amm2,38,6,1.0,False,6,Amm2,38,6,1.0,False,6,Amm2,38,6,1.0,False,6,Amm2,38,6,1.0,False
candidate_0052,priority,4,Pmm2,25,4,1.0,False,4,Pmm2,25,4,1.0,False,4,Pmm2,25,4,1.0,False,4,Pmm2,25,4,1.0,False
candidate_0063,priority,16,Cm,8,12,0.75,False,16,Cmc2_1,36,6,0.375,True,16,Cmce,64,5,0.3125,True,16,Cmce,64,5,0.3125,True
candidate_0065,priority,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False
candidate_0066,control,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False
candidate_0073,priority,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False
candidate_0074,priority,12,P1,1,12,1.0,False,12,P1,1,12,1.0,False,12,P1,1,12,1.0,False,12,P1,1,12,1.0,False
candidate_0077,priority,12,P1,1,12,1.0,False,12,P1,1,12,1.0,False,12,I4_1/amd,141,3,0.25,True,12,I4_1/amd,141,3,0.25,True
candidate_0084,control,4,Pmm2,25,4,1.0,False,4,Pmm2,25,4,1.0,False,4,Pmm2,25,4,1.0,False,4,Pmm2,25,4,1.0,False
candidate_0086,priority,6,Cmcm,63,3,0.5,True,6,Cmcm,63,3,0.5,True,6,Cmcm,63,3,0.5,True,6,Cmcm,63,3,0.5,True
candidate_0096,priority,12,Pmn2_1,31,6,0.5,True,12,Pmn2_1,31,6,0.5,True,12,Pmn2_1,31,6,0.5,True,12,Pmn2_1,31,6,0.5,True
candidate_0097,priority,4,C2,5,4,1.0,False,4,C2,5,4,1.0,False,4,I-4m2,119,4,1.0,False,4,I-4m2,119,4,1.0,False
candidate_0100,priority,4,Pmma,51,2,0.5,True,4,Pmma,51,2,0.5,True,4,Pmma,51,2,0.5,True,4,Pmma,51,2,0.5,True
candidate_0107,screened,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False
candidate_0118,priority,4,Pmm2,25,4,1.0,False,4,Pmm2,25,4,1.0,False,4,Pmm2,25,4,1.0,False,4,Pmm2,25,4,1.0,False
candidate_0124,screened,15,P1,1,15,1.0,False,15,P1,1,15,1.0,False,15,P1,1,15,1.0,False,15,P1,1,15,1.0,False
candidate_0130,priority,12,Pnma,62,3,0.25,True,12,Pnma,62,3,0.25,True,12,Pnma,62,3,0.25,True,12,Pnma,62,3,0.25,True
candidate_0131,priority,6,P-62m,189,3,0.5,True,6,P-62m,189,3,0.5,True,6,P-62m,189,3,0.5,True,6,P-62m,189,3,0.5,True
candidate_0132,priority,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False,10,C2,5,6,0.6,True,10,C2,5,6,0.6,True
candidate_0134,priority,16,C2,5,10,0.625,True,16,C2,5,10,0.625,True,16,C2/m,12,9,0.5625,True,16,C2/m,12,9,0.5625,True
candidate_0140,control,12,P2_1/m,11,6,0.5,True,12,P2_1/m,11,6,0.5,True,12,P2_1/m,11,6,0.5,True,12,P2_1/m,11,6,0.5,True
candidate_0142,priority,16,Cm,8,12,0.75,False,16,Cm,8,12,0.75,False,16,Cmc2_1,36,6,0.375,True,16,Cmc2_1,36,6,0.375,True
candidate_0143,priority,8,Pmma,51,4,0.5,True,8,Pmma,51,4,0.5,True,8,Pmma,51,4,0.5,True,8,Pmma,51,4,0.5,True
candidate_0151,priority,8,Pmmn,59,3,0.375,True,8,Pmmn,59,3,0.375,True,8,Pmmn,59,3,0.375,True,8,Pmmn,59,3,0.375,True
candidate_0153,screened,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False
candidate_0155,priority,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pmmn,59,4,0.3333333333333333,True,12,Pmmn,59,4,0.3333333333333333,True
candidate_0157,screened,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False,10,Cc,9,5,0.5,True,10,Cc,9,5,0.5,True
candidate_0164,control,12,P2_1/m,11,6,0.5,True,12,P2_1/m,11,6,0.5,True,12,P2_1/m,11,6,0.5,True,12,P2_1/m,11,6,0.5,True
candidate_0169,screened,11,P1,1,11,1.0,False,11,P1,1,11,1.0,False,11,Cm,8,11,1.0,False,11,Cm,8,11,1.0,False
candidate_0170,control,8,Pm,6,8,1.0,False,8,Pm,6,8,1.0,False,8,Pm,6,8,1.0,False,8,Pm,6,8,1.0,False
candidate_0171,priority,8,Pmm2,25,8,1.0,False,8,Pmm2,25,8,1.0,False,8,Pmm2,25,8,1.0,False,8,Pmm2,25,8,1.0,False
candidate_0174,priority,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False
candidate_0175,priority,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False,16,P6_3/mmc,194,4,0.25,True,16,P6_3/mmc,194,4,0.25,True
candidate_0177,priority,4,P-6m2,187,3,0.75,False,4,P-6m2,187,3,0.75,False,4,P-6m2,187,3,0.75,False,4,P-6m2,187,3,0.75,False
candidate_0184,control,10,Amm2,38,10,1.0,False,10,Amm2,38,10,1.0,False,10,P2_1/m,11,5,0.5,True,10,P2_1/m,11,5,0.5,True
candidate_0194,priority,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pmm2,25,12,1.0,False,12,Pmm2,25,12,1.0,False
candidate_0195,screened,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False,10,Imm2,44,5,0.5,True,5,Imm2,44,5,1.0,False
candidate_0196,priority,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False,12,I-4m2,119,8,0.6666666666666666,True,12,I-4m2,119,8,0.6666666666666666,True
candidate_0200,priority,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False,10,P4/mmm,123,6,0.6,True,10,P4/mmm,123,6,0.6,True
candidate_0215,control,10,C2,5,10,1.0,False,10,C2,5,10,1.0,False,10,C2,5,10,1.0,False,10,C2,5,10,1.0,False
candidate_0221,priority,3,R-3m,166,2,0.6666666666666666,True,3,R-3m,166,2,0.6666666666666666,True,3,R-3m,166,2,0.6666666666666666,True,3,R-3m,166,2,0.6666666666666666,True
candidate_0224,screened,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False,10,C2,5,6,0.6,True,10,C2,5,6,0.6,True
candidate_0227,screened,11,Imm2,44,11,1.0,False,11,Imm2,44,11,1.0,False,11,Imm2,44,11,1.0,False,11,Imm2,44,11,1.0,False
candidate_0230,priority,16,P3m1,156,8,0.5,True,16,P3m1,156,8,0.5,True,16,P3m1,156,8,0.5,True,16,P3m1,156,8,0.5,True
